purchase_id,user_id,purchase_date,revenue,channel_last_touch
100,5046.0,2024-03-03,"110,8",Google Display
101,4106.0,2024-02-19,202.82,Facebook Ads
102,7764.0,20/02/2024,240.68,Direct
103,5894.0,2024-01-23,278.88,ORGANIC_SEARCH
104,4856.0,2024-03-30,78.05,Direct
105,3373.0,2024-03-03,125.8,
106,8485.0,2024-04-23,-54.2,direct
107,3588.0,2024-03-11,297.82,Instagram Ads
108,7721.0,2024-03-22,"278,83",Google Search
109,7321.0,2024-02-21,,Referral
110,8193.0,2024-03-04,254.19,Facebook Ads
111,,2024-02-10,"161,08",Organic Search
112,3916.0,2024-01-17,190.84,Organic Search
113,2483.0,2024-02-08,35.85,Instagram Ads
114,1479.0,2024-01-16,229.03,TicTok Ads
115,2400.0,2024-04-25,47.04,TicTok Ads
116,2999.0,2024-02-25,249.56,TikTok Ads
117,8291.0,2024-02-02,236.79,Referral
118,1512.0,2024-02-07,215.54,Google Search
119,4786.0,,20.49,Referral
120,5337.0,2024-04-16,97.91,google-Search
121,5913.0,2024-01-02,86.3,Organic Search
122,3745.0,2024-03-29,114.44,Direct
123,7704.0,2024-03-31,35.42,Referral
124,3632.0,2024-04-17,281.72,Google Display
125,2831.0,invalid,170.6,
126,505.0,2024-02-19,98.6,TikTok Ads
127,3299.0,2024-03-26,125.12,referral
128,2459.0,2024-02-24,,
129,2639.0,22/02/2024,184.17,Organic Search
130,993.0,2024-01-04,159.55,Googel Search
131,947.0,2024-03-04,,Facebook Ads
132,3562.0,2024-01-06,154.12,Email
133,1061.0,2024-01-13,297.73,Instagram Ads
134,1346.0,2024-02-24,256.91,
135,5908.0,2024-04-20,,Google Search
136,4770.0,2024-01-19,279.87,Direct
137,7457.0,2024-02-22,43.75,tiktok ads
138,7865.0,2024-03-31,-247.06,Instagram Ads
139,5196.0,2024-02-29,120.38,Email
140,6853.0,2024-01-03,264.61,Googel Search
141,2131.0,2024-03-09,261.74,
142,6893.0,2024-02-24,243.72,TikTok Ads
143,1506.0,2024-01-24,-239.11,Instagram Ads
144,4031.0,2024-02-27,98.36,email
145,186.0,2024-01-03,33.47,Facebook Ads
146,2422.0,12/04/2024,126.86,Direct
147,2939.0,2024-04-05,60.32,TikTok Ads
148,6536.0,2024-04-29,211.54,Email
149,1886.0,2024-02-23,110.37,Instagram Ads
150,1999.0,2024-03-14,292.93,Google Display
151,1293.0,,195.88,Email
152,7936.0,2024-03-29,248.52,Referral
153,4643.0,2024-02-26,48.43,referral
154,6684.0,2024-02-20,259.98,Google Search
155,5251.0,2024-03-19,277.6,Instagram Ads
156,2325.0,2024-01-19,151.25,Direct
157,5814.0,2024-01-27,185.81,Instagram Ads
158,3280.0,2024-02-23,231.79,Instagram Ads
159,,2024-02-08,60.7,Instagram Ads
160,3872.0,20/04/2024,155.74,Facebook Ads
161,2977.0,2024-02-05,125.61,Organic  Search
162,5997.0,2024-03-17,52.45,Referral
163,7395.0,2024-03-22,116.58,Google Display
164,6197.0,2024-04-16,29.77,Direct
165,,2024-04-18,17.49,Email
166,8395.0,2024-03-10,-49.2,Referral
167,2749.0,2024-01-21,289.3,TikTok Ads
168,5989.0,2024-01-18,"169,36",Google Display
169,2097.0,2024-01-10,290.09,Facebook Ads
170,7236.0,2024-01-11,135.42,Direct
171,6500.0,2024-04-11,100.43,Instgram Ads
172,3295.0,,156.78,Google Display
173,8279.0,2024-03-17,137.46,Direct
174,8198.0,2024-01-07,40.64,Direct
175,6188.0,2024-03-03,195.84,Direct
176,7396.0,2024-03-12,72.65,Facebook Ads
177,2563.0,2024-03-14,189.68,TikTok Ads
178,821.0,2024-03-30,198.56,Instagram Ads
179,4422.0,2024-03-31,54.09,Referral
180,3348.0,2024-02-16,"27,79",Google Search
181,5311.0,2024-02-01,"236,42",Organic Search
182,1751.0,2024-03-23,143.34,Organic Search
183,8487.0,2024-04-22,"26,87",Google Search
184,,invalid,298.51,Instagram Ads
185,1651.0,2024-02-02,26.76,Email
186,1532.0,2024-03-15,211.56,Email
187,5079.0,2024-02-04,295.27,
188,5662.0,invalid,,Facebook Ads
189,6548.0,2024-02-01,51.25,Google Search
190,7035.0,2024-02-25,45.2,Referral
191,417.0,2024-02-20,"97,95",Referral
192,3638.0,2024-03-12,39.3,Instagram Ads
193,8247.0,2024-03-09,210.73,Google  Display
194,5095.0,2024-03-10,28.06,Facebok Ads
195,6308.0,2024-01-18,157.73,Google Display
196,3333.0,2024-02-08,299.04,Google Search
197,4418.0,2024-04-02,,Email
198,3434.0,2024-03-09,188.41,Google Display
199,8161.0,2024-02-09,,
200,8418.0,2024-02-19,"190,93",Direct 
201,6023.0,2024-01-19,162.84,Facebook Ads
202,5128.0,2024-02-23,133.56,Facebook Ads
203,6760.0,2024-02-10,47.91,Facebook Ads
204,5776.0,2024-01-09,,email
205,4240.0,2024-03-12,"140,44",Direct
206,4977.0,2024-03-21,66.44,
207,711.0,invalid,,TikTok Ads
208,7866.0,2024-03-07,130.1,TikTok Ads
209,2531.0,2024-02-28,249.99,GOOGLE DISPLAY
210,2342.0,2024-03-01,222.75,TicTok Ads
211,5172.0,2024-04-09,233.1,Google Display
212,2667.0,2024-04-08,13.2,Instagram Ads
213,6369.0,2024-01-11,,Instagram Ads
214,5730.0,2024-04-21,149.59,Organic Search
215,8253.0,2024-03-02,15.57,Googel Display
216,262.0,invalid,85.35,Organic  Search
217,2330.0,,230.48,Google Display
218,6016.0,29/03/2024,49.76,Google Display
219,4217.0,2024-02-11,165.24,Email
220,5020.0,2024-02-14,72.41,Direct
221,3483.0,2024-02-20,"13,52",Instagram Ads
222,7552.0,2024-02-01,79.95,TikTok Ads
223,2600.0,2024-02-25,"293,0",FB Ads
224,2411.0,2024-03-29,242.45,Google Search
225,,2024-02-08,,Organic Search
226,106.0,2024-04-22,151.48,Email
227,6928.0,2024-01-06,41.82,referal
228,3597.0,2024-02-08,168.91,Google Search
229,4695.0,2024-01-14,141.77,organic search
230,7628.0,,254.86,Direct
231,6594.0,,38.44,Email
232,,2024-03-27,,
233,5042.0,14/03/2024,53.51,Facebook Ads
234,6595.0,2024-01-11,104.16,Email
235,,2024-03-30,223.83,TikTok Ads
236,3697.0,2024-03-14,"148,05",organic search
237,5837.0,2024-01-18,119.01,Facebook Ads
238,5129.0,2024-02-05,124.4,Instagram Ads
239,2503.0,2024-01-01,143.24,Instagram Ads
240,1967.0,2024-01-30,237.65,Referral
241,7429.0,2024-03-03,268.7,TikTok Ads
242,6931.0,2024-02-05,287.05,GOOGLE DISPLAY
243,6255.0,2024-03-30,238.2,FB Ads
244,3873.0,2024-02-25,"101,47",Referral
245,465.0,2024-01-27,"209,56",Referral
246,4194.0,2024-01-18,136.9,TikTok Ads
247,5764.0,2024-02-06,83.85,insta_Ads
248,4052.0,2024-02-05,253.85,Google Search
249,7416.0,2024-01-18,"21,14",GOOGLE SEARCH
250,8361.0,2024-03-30,"271,51",Google Search
251,1932.0,2024-03-24,143.83,Referral
252,4538.0,2024-04-11,194.79,TikTok Ads
253,6791.0,2024-02-09,201.21,TikTok Ads
254,7889.0,2024-01-07,269.58,tik_tok_ads
255,8148.0,2024-01-19,194.63,Email
256,3328.0,2024-03-20,188.04,Facebook Ads
257,35.0,2024-01-13,29.33,organic search
258,2680.0,invalid,,Google Search
259,6053.0,2024-01-06,53.55,Referral
260,7626.0,2024-02-03,223.86,Referral
261,3914.0,02/01/2024,,Facebook Ads
262,6768.0,2024-02-23,207.27,Referral
263,8430.0,2024-02-10,22.09,Direct
264,5900.0,2024-03-12,34.59,Googel Search
265,2383.0,2024-03-02,217.73,
266,3420.0,09/02/2024,"30,9",
267,470.0,invalid,30.66,TicTok Ads
268,1379.0,2024-02-16,"13,51",Google Display
269,2665.0,2024-02-12,287.39,Email
270,6870.0,invalid,223.88,Direct
271,8315.0,invalid,112.44,TikTok Ads
272,2224.0,2024-01-04,96.0,Referral
273,3360.0,2024-02-11,111.41,Referral
274,3146.0,2024-02-20,234.65,Organic Search
275,4516.0,2024-01-24,201.8,Facebook Ads
276,245.0,2024-03-13,63.71,Email
277,7181.0,2024-02-10,60.49,TikTok Ads
278,2125.0,2024-03-18,38.53,EMAIL
279,7054.0,2024-01-03,"201,49",Facebook Ads
280,2330.0,,231.67,Organic Search
281,751.0,2024-01-10,"86,86",TikTok Ads
282,3288.0,2024-04-16,16.07,referal
283,8300.0,2024-01-18,"33,83",Referral
284,3727.0,2024-04-17,290.68,Organic Search
285,8352.0,2024-01-18,95.68,Google Display
286,72.0,2024-01-31,233.07,GOOGLE SEARCH
287,3199.0,13/03/2024,191.15,Google Search
288,2289.0,2024-03-18,"120,76",
289,5689.0,2024-01-28,69.65,email
290,6294.0,08/04/2024,"45,2",google display
291,6437.0,2024-03-16,188.35,tiktok ads
292,5252.0,2024-04-18,234.64,Instagram Ads
293,6800.0,2024-03-20,196.73,Direct
294,6023.0,2024-03-13,,Organic Search
295,5297.0,,22.17,Facebook Ads
296,4021.0,2024-04-23,,Facebook Ads
297,3376.0,2024-03-03,241.63,Email
298,270.0,2024-04-18,,Google Search
299,3576.0,2024-03-06,294.19,Organic Search
300,3614.0,2024-04-01,184.55,Email
301,4995.0,2024-02-15,178.9,TikTok Ads
302,227.0,2024-04-09,226.94,TikTok Ads
303,3218.0,2024-03-30,245.41,EMAIL
304,8002.0,2024-02-25,200.38,Google Display
305,330.0,2024-01-02,-47.15,Email
306,1207.0,2024-01-12,108.1,Organic Search
307,226.0,2024-01-15,279.14,Instagram Ads
308,4015.0,2024-03-16,"75,14",Facebook Ads
309,2473.0,2024-02-28,"117,93",EMAIL
310,5887.0,2024-02-09,135.3,Organic Search
311,,2024-03-16,"137,43",Facebook Ads
312,3068.0,2024-03-18,187.75,Instagram Ads
313,4916.0,2024-02-28,283.49,Email
314,7510.0,2024-04-18,79.8,Referral
315,4523.0,2024-04-28,45.24,Referral
316,5207.0,2024-01-24,67.27,Referral
317,8329.0,2024-04-04,267.21,TikTok Ads
318,5662.0,2024-01-14,-197.29,Instagram Ads
319,4898.0,2024-03-30,92.91,Google Search
320,7548.0,2024-03-01,246.62,Instagram Ads
321,4502.0,invalid,259.8,TikTok Ads
322,726.0,2024-04-29,255.49,Referral
323,7611.0,2024-04-01,276.49,Google  Display
324,6593.0,invalid,83.15,Google Search
325,7365.0,2024-02-11,228.96,Facebook Ads
326,1156.0,2024-04-16,143.56,Referral
327,8237.0,invalid,254.18,EMAIL
328,3363.0,2024-04-18,221.26,Direct
329,846.0,12/04/2024,"235,17",
330,1183.0,2024-01-20,200.29,Instagram Ads
331,2545.0,2024-02-16,61.45,Direct
332,5695.0,2024-04-24,168.06,TikTok Ads
333,5251.0,2024-01-30,,Organic Search
334,782.0,2024-01-31,281.84,Instagram Ads
335,4323.0,2024-01-09,22.52,Google Display
336,3025.0,2024-04-15,57.8,Email
337,,2024-03-03,48.2,Facebook Ads
338,2337.0,2024-04-07,220.53,TikTok Ads
339,8281.0,2024-01-10,247.16,TikTok Ads
340,5947.0,2024-04-05,71.92,Email
341,2915.0,2024-04-23,156.7,Facebok Ads
342,4770.0,invalid,253.8,Instagram Ads
343,545.0,04/02/2024,222.51,Referral
344,8516.0,2024-02-09,167.25,TikTok Ads
345,417.0,2024-02-22,181.2,Organic Search
346,6302.0,,157.42,tiktok ads
347,3536.0,2024-02-01,96.29,TikTok Ads
348,8224.0,2024-01-02,173.86,Direct
349,3146.0,2024-04-05,209.78,Email
350,5574.0,2024-01-13,263.26,Direct
351,,2024-02-19,194.52,TikTok Ads
352,394.0,2024-02-22,,
353,5803.0,2024-03-04,56.42,Referral
354,5832.0,2024-03-08,,Google Display
355,1120.0,2024-02-29,12.71,ORGANIC_SEARCH
356,3403.0,2024-02-28,81.54,Google Search
357,6833.0,2024-02-13,220.67,DIRECT
358,390.0,28/02/2024,297.62,Google  Display
359,1983.0,2024-04-22,38.76,Organic Search
360,7969.0,2024-02-15,126.43,Google Display
361,7975.0,2024-02-09,242.02,Google Display
362,6407.0,2024-03-16,69.17,TikTok Ads
363,6991.0,2024-02-03,170.97,Facebook Ads
364,4354.0,2024-02-22,222.59,Organic Search
365,740.0,2024-01-16,188.64,insta_Ads
366,8439.0,2024-03-05,"64,53",Facebook Ads
367,3542.0,2024-01-15,113.06,Google Search
368,6247.0,2024-03-04,-237.3,Organic Search
369,3382.0,2024-02-02,170.73,Facebook Ads
370,3368.0,2024-04-01,11.52,Facebook Ads
371,5838.0,2024-02-22,230.69,Google Search
372,8126.0,,20.24,TikTok Ads
373,5518.0,2024-02-14,226.26,TikTok Ads
374,7833.0,2024-01-11,"68,72",Direct
375,2003.0,2024-01-09,287.84,Google Search
376,881.0,invalid,116.7,Google Display
377,868.0,2024-01-03,-104.81,Instagram Ads
378,2921.0,2024-03-13,53.18,tik_tok_ads
379,6263.0,2024-03-27,98.63,Direct
380,58.0,2024-02-16,264.23,Google Search
381,1912.0,,"298,94",Facebook Ads
382,8382.0,2024-03-23,116.81,Email
383,1598.0,2024-01-17,140.1,Facebook Ads
384,6938.0,,219.4,GOOGLE DISPLAY
385,443.0,2024-01-05,267.0,Organic Search
386,6056.0,2024-01-28,181.98,TikTok Ads
387,811.0,2024-03-25,123.54,Google Search
388,8148.0,2024-02-23,129.66,direct
389,8073.0,2024-04-14,211.73,Organic Search
390,789.0,2024-01-05,,Gogle Search
391,2876.0,2024-02-12,189.68,referal
392,,2024-03-09,113.09,Google Display
393,3962.0,2024-02-04,"240,32",Facebook Ads
394,6331.0,17/02/2024,36.97,Instagram Ads
395,7122.0,2024-04-27,-180.58,Google Search
396,8392.0,2024-01-05,149.48,TikTok Ads
397,6754.0,2024-03-14,196.27,TikTok Ads
398,1960.0,2024-02-22,28.81,Google Display
399,4627.0,2024-02-11,178.2,Google Display
400,3208.0,28/04/2024,"172,83",Google Search
401,6909.0,2024-01-05,172.59,Google Search
402,5390.0,2024-03-25,185.01,Google Display
403,829.0,2024-02-18,"206,18",Google Search
404,7295.0,2024-04-26,,Organic Search
405,1821.0,2024-03-09,"88,25",Organic Search
406,7912.0,2024-02-11,249.26,Email
407,4260.0,2024-04-11,154.49,Organic Search
408,1635.0,invalid,,Google Search
409,5878.0,2024-03-08,-26.98,Google Search
410,7055.0,2024-04-10,106.93,
411,4814.0,invalid,237.62,Google Display
412,380.0,2024-02-20,215.23,Direct 
413,6104.0,2024-01-26,238.7,referal
414,4313.0,24/01/2024,160.01,Direct
415,4846.0,2024-02-27,137.66,Instagram Ads
416,8156.0,2024-03-12,52.76,GOOGLE DISPLAY
417,2256.0,2024-01-25,105.18,TikTok Ads
418,6687.0,2024-04-13,135.87,Referral
419,868.0,2024-03-12,35.69,Instagram Ads
420,2182.0,2024-01-17,73.98,Google Display
421,4432.0,2024-01-26,183.49,Google Display
422,7624.0,2024-02-09,223.34,instagram ads
423,5618.0,2024-01-17,299.52,TikTok Ads
424,7536.0,2024-02-11,280.6,Google Display
425,,2024-03-27,-196.34,Google Display
426,3237.0,2024-03-02,132.16,Google Display
427,2474.0,2024-04-04,194.49,Referral
428,2175.0,2024-03-05,237.84,Instagram Ads
429,6124.0,2024-03-16,44.32,organic search
430,7923.0,2024-04-12,128.87,Organic Search
431,3437.0,2024-01-04,253.54,
432,3972.0,2024-02-03,-121.31,Organic Search
433,907.0,invalid,175.84,google display
434,6995.0,2024-03-18,180.45,Facebook Ads
435,2158.0,2024-02-29,63.5,Direct
436,6777.0,2024-01-21,115.05,Referral
437,6404.0,2024-02-01,107.01,Google Display
438,6858.0,2024-01-28,17.6,DIRECT
439,6082.0,,17.02,TikTok Ads
440,749.0,2024-04-18,"251,19",Facebook Ads
441,8445.0,2024-04-04,89.19,insta_Ads
442,5900.0,invalid,160.24,Instagram Ads
443,6613.0,2024-02-29,96.63,Organic Search
444,6340.0,2024-04-02,282.8,Instagram Ads
445,4800.0,2024-04-05,85.2,Email
446,7615.0,2024-01-19,134.6,Google Search
447,6053.0,2024-04-02,263.09,email
448,6988.0,2024-04-02,254.16,Direct
449,5784.0,2024-02-07,-63.97,Email
450,8554.0,2024-03-05,242.77,Instagram Ads
451,7499.0,2024-01-14,142.87,Organic Search
452,8417.0,2024-03-17,150.06,Instagram Ads
453,7670.0,2024-04-21,,Instagram Ads
454,6639.0,,"33,37",ORGANIC_SEARCH
455,2168.0,2024-04-02,221.1,Direct
456,8096.0,2024-02-27,153.97,Organic  Search
457,1480.0,2024-01-15,136.69,Organic Search
458,452.0,2024-01-31,221.56,Organic Search
459,4430.0,2024-03-18,232.0,Instagram Ads
460,7244.0,,56.08,google-Search
461,5447.0,2024-01-22,186.97,Google Search
462,6765.0,2024-04-27,"49,25",Google Search
463,2408.0,2024-03-30,227.9,Google Search
464,1214.0,2024-03-27,200.52,Facebook Ads
465,2939.0,2024-03-14,-287.42,Organic Search
466,5751.0,2024-02-20,"30,0",TikTok Ads
467,5897.0,2024-04-25,-26.55,Instagram Ads
468,8492.0,2024-01-01,91.83,Google Search
469,5500.0,2024-01-19,85.89,TicTok Ads
470,4608.0,2024-03-03,81.62,Direct 
471,3230.0,02/03/2024,272.81,Google Display
472,3752.0,2024-02-12,82.37,
473,8276.0,2024-01-26,88.87,Organic Search
474,6991.0,2024-03-28,230.23,Facebook Ads
475,4234.0,2024-03-20,"140,42",
476,3331.0,2024-04-23,235.25,Referral
477,7116.0,06/02/2024,"28,96",Google Display
478,5631.0,2024-04-24,151.4,Email
479,2657.0,2024-01-27,"19,75",Facebook Ads
480,7945.0,2024-04-12,28.17,Email
481,1232.0,2024-01-13,272.87,Google Search
482,5551.0,2024-04-23,50.38,Google Search
483,7003.0,2024-02-12,164.4,Facebook Ads
484,5991.0,2024-03-12,129.22,Referral
485,4004.0,2024-04-23,110.73,Organic Search
486,555.0,2024-04-20,270.95,google display
487,606.0,2024-01-02,16.33,Instagram Ads
488,2129.0,2024-03-27,202.5,Organic Search
489,1647.0,2024-04-06,,Direct
490,340.0,2024-03-06,172.45,organic search
491,4928.0,02/04/2024,"281,68",Email
492,5315.0,2024-03-19,-25.15,Google Search
493,1597.0,2024-04-25,131.45,Google Search
494,4277.0,2024-02-13,85.45,Google Search
495,8018.0,2024-04-05,221.94,Google Search
496,608.0,2024-01-24,"294,58",Organic Search
497,1989.0,invalid,,Google Display
498,3963.0,2024-04-24,199.71,Email
499,5459.0,2024-03-21,67.45,Instagram Ads
500,2952.0,2024-03-03,173.95,Instagram Ads
501,1825.0,14/01/2024,,Instagram Ads
502,5756.0,2024-02-29,291.88,Instagram Ads
503,4148.0,2024-02-15,186.47,Direct 
504,7954.0,15/02/2024,111.36,Instagram Ads
505,3273.0,2024-03-13,-43.09,Facebook Ads
506,210.0,2024-01-08,53.86,Instagram Ads
507,1805.0,2024-04-28,75.34,TicTok Ads
508,291.0,2024-03-01,82.78,Facebook Ads
509,6530.0,2024-01-24,256.68,Email
510,2191.0,2024-03-24,172.75,TikTok Ads
511,1720.0,08/01/2024,161.78,Facebook Ads
512,2422.0,2024-03-06,43.28,Google Search
513,1141.0,2024-01-24,259.44,TikTok Ads
514,917.0,2024-03-02,219.62,Referral
515,5100.0,2024-04-25,29.62,Google Search
516,2859.0,2024-04-18,-215.27,tik_tok_ads
517,4882.0,2024-01-19,167.63,Email
518,7468.0,2024-01-06,33.7,Referral
519,8411.0,2024-01-07,142.91,Direct
520,7631.0,2024-03-20,150.56,
521,3298.0,2024-03-17,,facebook ads
522,1059.0,2024-03-31,-284.25,Google Display
523,2740.0,2024-02-19,"256,49",Direct
524,3155.0,2024-01-19,204.02,Referral
525,3250.0,2024-04-15,144.07,Email
526,5571.0,2024-02-28,129.41,Organic Search
527,8349.0,,,Facebook Ads
528,213.0,16/03/2024,168.18,Google Search
529,,2024-03-12,28.06,Email
530,4695.0,2024-02-06,158.63,Instagram Ads
531,1784.0,2024-03-21,243.86,Instagram Ads
532,8449.0,2024-01-24,143.18,Email
533,1909.0,2024-01-22,"25,07",Direct
534,3343.0,2024-04-10,-238.02,Direct
535,4873.0,2024-04-13,68.4,Instagram Ads
536,4934.0,2024-01-23,85.0,Google Search
537,5463.0,2024-03-09,57.76,Organic Search
538,7935.0,2024-04-04,-105.76,Google Search
539,5780.0,2024-04-26,229.46,Direct
540,2366.0,2024-04-28,160.62,Google Search
541,7945.0,2024-04-16,69.42,Organic Search
542,4048.0,2024-01-18,264.57,facebook ads
543,6431.0,2024-02-16,265.08,Instagram Ads
544,7084.0,,262.47,TikTok Ads
545,5584.0,2024-03-29,79.25,Email
546,8000.0,17/04/2024,"140,86",Google Search
547,7161.0,2024-02-04,295.65,Google Search
548,6913.0,2024-02-17,233.88,Email
549,2342.0,12/02/2024,17.88,Referral
550,5826.0,2024-04-07,28.91,Organic Search
551,3408.0,invalid,144.54,Organic Search
552,,2024-01-28,273.67,google search
553,127.0,2024-03-26,166.22,Facebok Ads
554,3274.0,2024-02-16,154.37,Instagram Ads
555,3222.0,2024-04-29,"40,59",Referral
556,3243.0,2024-03-17,200.47,Organic Search
557,3977.0,2024-01-18,248.41,Referral
558,,2024-03-28,120.32,Direct
559,,2024-02-24,234.93,Facebook Ads
560,6441.0,2024-03-11,289.7,TikTok Ads
561,3572.0,2024-01-17,69.09,Organic Search
562,39.0,2024-03-28,161.77,Facebook Ads
563,4128.0,2024-01-15,93.27,Google Display
564,1750.0,2024-04-23,239.93,Direct 
565,5700.0,2024-01-05,"177,5",TikTok Ads
566,3231.0,2024-01-31,194.03,Instagram Ads
567,2295.0,invalid,"241,4",
568,2059.0,2024-04-22,124.83,Email
569,103.0,2024-04-04,275.38,Direct
570,4967.0,2024-03-08,164.58,Email
571,8155.0,2024-03-30,55.81,Google Search
572,1057.0,2024-01-22,-211.81,direct
573,6489.0,,240.05,
574,,invalid,"101,86",Email
575,,2024-01-28,258.58,TicTok Ads
576,7308.0,2024-02-14,272.78,Instagram Ads
577,339.0,2024-02-12,,Google  Display
578,8334.0,2024-01-13,295.22,Email
579,3113.0,2024-02-22,50.81,eMail
580,7462.0,2024-03-01,68.58,Instagram Ads
581,2285.0,2024-01-02,63.43,Instagram Ads
582,5447.0,2024-04-15,269.26,Referral
583,2618.0,2024-03-17,199.74,Google Search
584,2723.0,2024-02-02,54.11,Instagram Ads
585,6302.0,2024-03-23,137.69,TikTok Ads
586,4276.0,2024-04-09,188.44,Googel Search
587,6533.0,2024-03-28,34.2,Google Search
588,7779.0,2024-02-12,265.9,Organic Search
589,5051.0,2024-03-01,243.05,Email
590,4011.0,2024-04-06,156.51,Direct
591,2522.0,2024-04-09,290.47,TikTok Ads
592,784.0,2024-03-04,131.15,Googel Display
593,1095.0,2024-04-22,295.39,Email
594,4997.0,2024-03-05,203.7,Referral
595,58.0,08/03/2024,194.05,Referral
596,2358.0,2024-01-26,58.13,EMAIL
597,6918.0,2024-01-03,265.76,referal
598,7910.0,2024-04-26,133.97,organic search
599,7803.0,2024-01-05,57.05,Google Display
600,5592.0,2024-04-06,13.66,Google Search
601,2729.0,2024-02-15,-172.33,Organic Search
602,4951.0,2024-01-11,162.95,Facebook Ads
603,8172.0,2024-01-03,,
604,5041.0,,268.17,google display
605,1830.0,2024-04-28,33.03,Referral
