user_id,acquisition_date,acquisition_channel,acquisition_campaign
223,2024-02-10,Facebook Ads,28.0
224,2024-01-25,Google  Display,31.0
225,2024-01-16,Organic Search,34.0
226,2024-03-03,tiktok ads,50.0
227,2023-12-11,Facebook Ads,25.0
228,2024-02-29,Instagram Ads,35.0
229,14/02/2024,Facebook Ads,15.0
230,2024-04-09,Direct,4.0
231,2024-02-04,Google Display,5.0
232,2024-03-20,Direct,52.0
233,2024-04-23,Organic Search,22.0
234,2024-01-22,Facebook Ads,7.0
235,2023-12-08,Google Display,44.0
236,2024-01-13,Google Search,22.0
237,2023-12-24,Email,51.0
238,2024-04-23,Organic Search,11.0
239,12/02/2024,Facebok Ads,25.0
240,2024-02-11,Email,41.0
241,2024-04-28,Google Search,8.0
242,2024-03-15,TicTok Ads,48.0
243,2024-01-31,Organic Search,47.0
244,2023-12-13,Instagram Ads,9.0
245,2024-03-08,Organic Search,33.0
246,invalid,Email,6.0
247,2024-04-05,Instagram Ads,0.0
248,2024-03-05,Referral,54.0
249,2024-04-27,Direct,40.0
250,2024-01-09,TikTok Ads,53.0
251,2024-04-23,Google Search,49.0
252,2024-02-20,Google Search,37.0
253,2024-04-06,Google Display,53.0
254,2024-02-21,Direct,24.0
255,,DIRECT,2.0
256,2024-03-05,TikTok Ads,45.0
257,2024-03-25,Google  Search,31.0
258,2023-12-28,TikTok Ads,15.0
259,2024-02-26,Direct,52.0
260,2024-02-07,Google Display,35.0
261,,Direct,38.0
262,2024-03-31,TikTok Ads,50.0
263,2024-04-04,Direct,4.0
264,2024-02-21,Email,20.0
265,2024-01-10,TikTok Ads,46.0
266,2024-03-09,facebook ads,16.0
267,2024-01-19,TikTok Ads,25.0
268,2024-01-29,Organic Search,3.0
269,2024-04-03,Google Display,7.0
270,2023-12-15,Google Search,30.0
271,2023-12-26,ORGANIC_SEARCH,38.0
272,2024-03-17,TikTok Ads,40.0
273,2024-03-07,Facebook Ads,52.0
274,2024-04-16,Organic Search,17.0
275,2024-04-11,Instgram Ads,24.0
276,2023-12-28,Email,18.0
277,2024-03-14,Google Search,38.0
278,2024-04-19,,43.0
279,invalid,Instagram Ads,23.0
280,2024-02-23,REFERRAL,20.0
281,2024-01-12,tiktok ads,48.0
282,2024-02-02,Facebook Ads,36.0
283,2024-02-11,Organic Search,6.0
284,22/03/2024,ORGANIC_SEARCH,21.0
285,2024-01-09,Referral,9.0
286,2023-12-19,Google Search,47.0
287,2023-12-29,tiktok ads,11.0
288,2024-02-21,TikTok Ads,45.0
289,26/01/2024,,22.0
290,2024-04-11,Facebook Ads,6.0
291,2023-12-28,Direct,5.0
292,2024-01-31,Organic Search,50.0
293,2024-04-03,,26.0
294,2024-01-10,Instagram Ads,20.0
295,2023-12-27,Google Display,36.0
296,2023-12-20,Referral,19.0
297,2024-03-21,Google Display,29.0
298,2024-03-29,TikTok Ads,50.0
299,2024-04-03,Direct,37.0
300,2024-03-14,Google  Display,44.0
301,2024-02-26,Instagram Ads,15.0
302,2024-03-04,Google Display,37.0
303,2024-03-17,organic search,23.0
304,26/02/2024,Google Search,17.0
305,2024-03-29,TikTok Ads,45.0
306,2024-01-10,Google Search,26.0
307,14/12/2023,TikTok Ads,38.0
308,2024-01-05,Direct,50.0
309,2024-02-13,Referral,34.0
310,2024-01-09,Google Display,48.0
311,2024-03-15,Direct,50.0
312,2024-02-19,Google Search,1.0
313,2024-04-14,Gogle Search,2.0
314,2023-12-08,Organic Search,26.0
315,2024-01-19,TikTok Ads,18.0
316,2023-12-19,Referral,50.0
317,05/03/2024,Google Display,12.0
318,26/02/2024,FB Ads,31.0
319,2024-03-01,Email,53.0
320,2024-03-01,Google Display,35.0
321,2024-01-18,Facebook Ads,21.0
322,2024-04-12,Direct,37.0
323,2024-01-16,referal,13.0
324,,Direct,33.0
325,2024-03-11,Facebook Ads,47.0
326,2024-04-10,Direct,13.0
327,2024-04-10,Referral,33.0
328,2023-12-12,TikTok Ads,33.0
329,2024-04-10,GOOGLE SEARCH,31.0
330,2023-12-17,Facebook Ads,14.0
331,10/01/2024,Facebook Ads,31.0
332,invalid,Google Search,51.0
333,2024-02-25,Organic Search,54.0
334,03/01/2024,Email,42.0
335,2024-04-17,Google Search,19.0
336,2023-12-14,Organic Search,37.0
337,2024-02-03,google display,45.0
338,04/02/2024,FB Ads,33.0
339,2024-04-09,Google Display,1.0
340,2024-03-18,TikTok Ads,37.0
341,2024-04-13,Email,53.0
342,2024-01-18,Referral,22.0
343,2024-01-13,Organic Search,11.0
344,2024-02-02,,16.0
345,2024-01-14,Direct,20.0
346,2023-12-16,Organic Search,13.0
347,2024-03-17,Referral,45.0
348,invalid,TikTok Ads,47.0
349,2024-01-18,TikTok Ads,33.0
350,2024-04-11,TikTok Ads,43.0
351,2024-01-21,direct,47.0
352,2024-01-09,Email,45.0
353,2023-12-18,GOOGLE SEARCH,31.0
354,2023-12-06,,35.0
355,2024-03-12,Referral,8.0
356,2024-04-05,Google Search,17.0
357,2023-12-31,Google Display,999.0
358,2024-01-29,Facebook Ads,50.0
359,2024-01-20,email,6.0
360,2024-03-11,Instagram Ads,21.0
361,2024-03-27,Google Display,43.0
362,2024-04-19,Direct,13.0
363,2023-12-18,Facebook Ads,12.0
364,2024-03-08,Instgram Ads,2.0
365,2024-03-12,Direct,21.0
366,2024-04-17,TikTok Ads,37.0
367,2024-02-15,TikTok Ads,41.0
368,2024-04-28,TikTok Ads,42.0
369,2023-12-24,Google Search,28.0
370,26/04/2024,Referral,3.0
371,2023-12-28,Referral,22.0
372,2024-01-26,TikTok Ads,22.0
373,2023-12-19,Google Search,53.0
374,2024-04-29,google search,7.0
375,2024-02-01,TikTok Ads,52.0
376,2024-02-15,Instagram Ads,48.0
377,2024-01-22,Google Search,45.0
378,2023-12-08,DIRECT,53.0
379,2024-03-14,Facebook Ads,36.0
380,invalid,Google Display,51.0
381,2024-01-11,TikTok Ads,7.0
382,2024-04-04,Facebook Ads,13.0
383,2024-01-08,referral,23.0
384,2024-01-31,eMail,25.0
385,2024-04-14,Organic Search,15.0
386,2024-01-03,,17.0
387,2023-12-25,TikTok Ads,3.0
388,2023-12-04,Googel Search,11.0
389,2024-02-08,Organic Search,16.0
390,2024-03-10,Referral,24.0
391,2024-04-10,,9.0
392,2024-01-21,Google Display,49.0
393,invalid,Instagram Ads,19.0
394,2023-12-11,GOOGLE DISPLAY,15.0
395,02/04/2024,Google Display,1.0
396,2024-03-29,Email,53.0
397,2023-12-15,Referral,2.0
398,2024-01-16,Instgram Ads,13.0
399,2023-12-25,Organic Search,29.0
400,2023-12-09,facebook ads,33.0
401,2023-12-07,Google Search,48.0
402,2024-02-28,Google Search,43.0
403,2024-01-27,TikTok Ads,35.0
404,2023-12-29,FB Ads,47.0
405,2024-02-29,Google  Search,27.0
406,2024-02-07,EMAIL,16.0
407,2023-12-30,ORGANIC_SEARCH,23.0
408,2024-02-29,instagram ads,43.0
409,2024-03-18,Gogle Search,8.0
410,2024-04-21,TicTok Ads,35.0
411,2024-03-31,Email,36.0
412,,Organic Search,37.0
413,2024-04-13,Referral,23.0
414,2024-02-08,Email,26.0
415,2024-03-17,Email,5.0
416,2024-03-12,Instagram Ads,50.0
417,2024-03-05,email,5.0
418,2024-03-02,Referral,5.0
419,2024-02-05,TikTok Ads,39.0
420,2024-03-06,Google Search,10.0
421,2024-03-17,Facebook Ads,33.0
422,2023-12-29,Google Display,28.0
423,2023-12-24,Google Search,12.0
424,2024-03-31,Google Display,35.0
425,2024-01-19,Instagram Ads,24.0
426,2024-03-11,Gogle Search,13.0
427,2024-01-17,Facebook Ads,2.0
428,2024-04-01,Google Display,26.0
429,2024-02-13,Google Display,39.0
430,2024-03-03,,43.0
431,2024-03-19,Instagram Ads,3.0
432,2024-03-21,Google Search,48.0
433,2024-01-21,Organic Search,30.0
434,2024-01-22,Instagram Ads,53.0
435,2024-03-15,Email,51.0
436,2024-03-21,Instgram Ads,49.0
437,2024-03-05,Referral,39.0
438,2024-01-07,Referral,44.0
439,2024-03-24,Google Search,36.0
440,2023-12-17,Facebook Ads,33.0
441,2024-01-27,Referral,12.0
442,2023-12-26,Google Search,15.0
443,2024-04-16,Google Display,21.0
444,2024-03-15,Google Display,51.0
445,2024-03-06,email,10.0
446,2024-01-24,TikTok Ads,35.0
447,,TikTok Ads,24.0
448,2023-12-22,Email,52.0
449,2024-03-06,Referral,6.0
450,2024-01-22,facebook ads,41.0
451,2023-12-17,Direct,41.0
452,2024-03-21,,7.0
453,2024-03-30,Organic Search,23.0
454,2024-01-29,Instagram Ads,48.0
455,16/03/2024,Google Display,19.0
456,2024-04-01,Google Search,2.0
457,,REFERRAL,4.0
458,2023-12-13,Direct,24.0
459,21/12/2023,Facebook Ads,45.0
460,2024-03-05,Google Search,28.0
461,07/12/2023,Email,30.0
462,2024-04-23,Referral,5.0
463,2024-01-03,Organic Search,44.0
464,2024-04-15,Facebook Ads,21.0
465,2024-01-29,Email,4.0
466,2024-04-08,Instagram Ads,44.0
467,2024-03-03,direct,34.0
468,2024-02-24,Google Display,16.0
469,2024-01-18,Email,45.0
470,2024-01-16,Google Display,31.0
471,,direct,45.0
472,04/02/2024,fb_ads,34.0
473,2024-01-24,REFERRAL,27.0
474,2024-03-02,Google Search,53.0
475,2023-12-05,TikTok Ads,28.0
476,2024-02-17,Referral,42.0
477,2024-02-06,Organic Search,43.0
478,2024-02-11,FB Ads,6.0
479,2024-01-14,Facebook Ads,27.0
480,2024-03-31,Referral,50.0
481,2024-03-27,Organic Search,37.0
482,2024-03-23,Google Search,8.0
483,2024-04-07,Referral,14.0
484,2024-03-28,fb_ads,5.0
485,2024-02-14,Email,1.0
486,2024-03-06,Facebook Ads,2.0
487,2024-04-17,Facebook Ads,52.0
488,2024-04-28,Instagram Ads,2.0
489,2024-03-02,fb_ads,48.0
490,2024-03-29,referal,38.0
491,2024-03-31,Google Search,46.0
492,2023-12-07,google display,46.0
493,2024-02-29,Instagram Ads,7.0
494,2024-03-14,Email,27.0
495,2024-04-04,Instagram Ads,30.0
496,invalid,REFERRAL,53.0
497,2024-04-11,Organic Search,27.0
498,17/01/2024,email,45.0
499,2024-04-23,Direct ,4.0
500,2024-01-19,Facebook Ads,24.0
501,2024-02-20,TikTok Ads,19.0
502,2024-02-01,Instagram Ads,13.0
503,invalid,Google  Display,48.0
504,2024-01-03,TikTok Ads,7.0
505,2024-04-06,TikTok Ads,44.0
506,2024-02-06,Email,46.0
507,2024-04-24,Direct,44.0
508,2023-12-21,Google Display,21.0
509,2024-01-16,TikTok Ads,47.0
510,2023-12-07,Google Display,54.0
511,2023-12-31,Direct,49.0
512,2024-02-17,Direct,38.0
513,2024-01-07,Facebook Ads,32.0
514,2024-03-19,Facebook Ads,8.0
515,2024-01-11,Direct,17.0
516,2023-12-04,TikTok Ads,37.0
517,,Instagram Ads,50.0
518,18/02/2024,Email,19.0
519,2024-02-15,Direct,17.0
520,2024-01-08,Instagram Ads,
521,2023-12-20,Google Display,31.0
522,2024-01-16,Facebook Ads,42.0
523,2024-03-27,TicTok Ads,48.0
524,2024-04-07,Facebook Ads,3.0
525,2024-04-17,Direct,48.0
526,2024-04-16,TicTok Ads,42.0
527,2024-03-14,,11.0
528,2024-01-09,Google Search,15.0
529,2024-04-26,Instagram Ads,37.0
530,2023-12-26,Google Display,48.0
531,2024-01-16,,10.0
532,2024-02-25,referal,49.0
533,2023-12-17,Organic Search,43.0
534,2023-12-27,TikTok Ads,39.0
535,2024-04-16,FB Ads,52.0
536,invalid,Instagram Ads,50.0
537,2024-01-20,tiktok ads,34.0
538,2024-04-03,Direct,34.0
539,2024-04-03,referal,53.0
540,2023-12-04,Google Display,23.0
541,2023-12-06,Email,52.0
542,2023-12-11,Referral,30.0
543,2024-03-26,Instagram Ads,31.0
544,2024-03-24,Organic Search,33.0
545,2024-01-13,FB Ads,49.0
546,29/03/2024,Google Search,36.0
547,2024-02-09,Google Display,46.0
548,invalid,Google Search,27.0
549,2024-04-26,TicTok Ads,37.0
550,2024-01-06,Google Display,22.0
551,2024-03-10,facebook ads,17.0
552,2024-03-01,Direct,13.0
553,2024-04-22,,32.0
554,2024-03-04,Direct,19.0
555,2024-01-25,Organic Search,40.0
556,2024-04-21,Google  Display,8.0
557,2024-01-05,TikTok Ads,25.0
558,2024-04-02,Instagram Ads,40.0
559,2024-04-21,Direct,7.0
560,2023-12-30,Google Search,5.0
561,2024-04-22,eMail,32.0
562,2024-02-15,Instagram Ads,51.0
563,2024-03-01,Facebook Ads,5.0
564,2024-01-12,Direct,46.0
565,2024-02-25,fb_ads,26.0
566,2024-01-22,organic search,48.0
567,2024-02-03,GOOGLE DISPLAY,42.0
568,2023-12-16,Organic Search,8.0
569,2024-02-02,Google Display,52.0
570,09/03/2024,google display,44.0
571,2024-04-27,TikTok Ads,32.0
572,2024-03-29,google display,10.0
573,2024-01-30,Google Search,49.0
574,2024-02-01,Direct,31.0
575,2024-04-14,Email,50.0
576,2024-02-22,Google Display,30.0
577,2023-12-03,TikTok Ads,39.0
578,2024-03-02,Facebook Ads,7.0
579,2024-03-26,Googel Search,19.0
580,2023-12-31,Organic Search,28.0
581,2023-12-16,Google Display,32.0
582,2024-02-27,Google Search,28.0
583,2024-03-06,Direct,44.0
584,2024-04-06,TikTok Ads,33.0
585,2023-12-28,Facebook Ads,46.0
586,2023-12-28,Email,23.0
587,2024-03-30,Google  Search,42.0
588,2024-04-14,Instagram Ads,22.0
589,2024-01-13,Organic Search,28.0
590,2023-12-30,Google Search,50.0
591,2024-02-26,Email,8.0
592,2024-01-17,TikTok Ads,29.0
593,2024-04-27,Email,6.0
594,2023-12-03,TikTok Ads,4.0
595,2024-04-11,Organic Search,38.0
596,2024-01-11,TikTok Ads,35.0
597,2024-04-20,email,20.0
598,2024-04-01,Google Display,17.0
599,2024-01-07,Google Display,29.0
600,2024-01-21,Facebook Ads,3.0
601,2023-12-04,Direct,50.0
602,2024-04-26,,53.0
603,2024-02-23,Email,42.0
604,2024-03-24,Direct,33.0
605,2024-03-11,Google Search,12.0
606,2023-12-26,Organic Search,47.0
607,2023-12-25,Instagram Ads,21.0
608,2024-03-19,Facebook Ads,20.0
609,10/02/2024,Facebook Ads,16.0
610,2024-02-01,Organic Search,22.0
611,,Organic Search,42.0
612,,Email,10.0
613,2024-04-02,Google Display,53.0
614,2024-03-28,Email,37.0
615,2024-04-18,Referral,29.0
616,2024-02-06,,17.0
617,2023-12-14,Google Search,28.0
618,2024-04-22,Google Display,16.0
619,2024-03-10,TikTok Ads,2.0
620,invalid,Instagram Ads,3.0
621,2023-12-07,Google Search,22.0
622,30/03/2024,Facebook Ads,29.0
623,2024-04-21,Referral,24.0
624,2024-02-14,Instagram Ads,44.0
625,2024-04-01,Instagram Ads,38.0
626,2023-12-26,,27.0
627,2023-12-04,Direct,13.0
628,2024-03-31,TikTok Ads,41.0
629,2023-12-04,TikTok Ads,5.0
630,2023-12-27,Organic Search,46.0
631,2023-12-09,TikTok Ads,25.0
632,2024-01-10,EMAIL,17.0
633,2023-12-09,Google Display,7.0
634,2023-12-27,Organic Search,43.0
635,2024-04-12,facebook ads,9.0
636,2024-01-19,TikTok Ads,40.0
637,2024-01-25,TikTok Ads,33.0
638,2024-01-11,TikTok Ads,24.0
639,2024-02-15,Direct,3.0
640,2023-12-25,Direct,49.0
641,2024-04-10,Referral,24.0
642,12/02/2024,direct,44.0
643,2024-02-24,Facebook Ads,33.0
644,14/01/2024,Google Display,32.0
645,2023-12-07,,52.0
646,2024-04-04,Facebook Ads,46.0
647,2024-02-15,Organic  Search,53.0
648,2024-01-19,EMAIL,24.0
649,2024-01-01,Email,7.0
650,2024-03-09,Instagram Ads,23.0
651,2024-02-22,Google Search,20.0
652,2024-04-05,TikTok Ads,37.0
653,2024-01-16,Email,27.0
654,2023-12-20,Instagram Ads,28.0
655,2024-03-11,tik_tok_ads,15.0
656,2024-01-07,Googel Display,5.0
657,2024-04-23,Referral,42.0
658,2024-03-10,TicTok Ads,8.0
659,2024-04-12,Referral,43.0
660,2023-12-16,Facebook Ads,43.0
661,2023-12-22,Email,5.0
662,2024-02-09,Direct ,53.0
663,2024-01-16,Email,9.0
664,2024-01-26,ORGANIC_SEARCH,17.0
665,2024-01-03,TikTok Ads,36.0
666,2024-04-13,Referral,34.0
667,invalid,Google Display,38.0
668,2024-02-06,Email,21.0
669,2024-04-12,google search,5.0
670,2024-03-27,,45.0
671,2024-04-09,ORGANIC_SEARCH,48.0
672,2024-03-13,ORGANIC_SEARCH,46.0
673,2024-01-22,Google Search,45.0
674,2024-03-01,Google Search,45.0
675,2024-01-04,TikTok Ads,21.0
676,2024-02-19,Facebook Ads,49.0
677,2024-03-13,Direct,25.0
678,13/12/2023,TikTok Ads,20.0
679,2024-02-12,Direct ,45.0
680,2024-03-17,Email,47.0
681,2024-02-14,Organic Search,34.0
682,,TikTok Ads,51.0
683,2024-01-10,Organic Search,31.0
684,2023-12-12,insta_Ads,25.0
685,29/02/2024,Google Search,8.0
686,2023-12-12,referral,18.0
687,2024-04-11,Direct,34.0
688,,TikTok Ads,26.0
689,2024-04-05,google-Search,27.0
690,2024-02-14,Facebook Ads,25.0
691,2024-03-23,Instagram Ads,20.0
692,2024-01-31,REFERRAL,27.0
693,04/03/2024,Direct,43.0
694,2023-12-17,TikTok Ads,25.0
695,2024-04-01,Organic Search,41.0
696,2024-03-10,Email,3.0
697,2024-04-08,Instagram Ads,33.0
698,2024-03-12,Google Display,1.0
699,04/01/2024,Facebook Ads,51.0
700,2024-03-31,Instagram Ads,6.0
701,2023-12-17,TikTok Ads,11.0
702,2024-01-25,TikTok Ads,28.0
703,,Email,52.0
704,15/12/2023,Facebook Ads,46.0
705,2023-12-12,Organic Search,31.0
706,invalid,Direct,36.0
707,2024-03-15,Direct,16.0
708,,TikTok Ads,34.0
709,2024-03-01,Direct,3.0
710,2024-01-07,Organic Search,49.0
711,2024-01-19,Google Search,26.0
712,2024-02-21,Googel Display,2.0
713,2023-12-02,Organic Search,48.0
714,2024-03-22,Facebok Ads,24.0
715,2024-03-19,Direct,13.0
716,2024-04-26,Facebook Ads,5.0
717,2024-02-27,google display,11.0
718,23/12/2023,TikTok Ads,8.0
719,2023-12-02,Email,47.0
720,2023-12-27,Referral,11.0
721,2023-12-19,organic search,54.0
722,2024-03-12,TikTok Ads,50.0
723,2024-02-06,,53.0
724,2023-12-26,Organic Search,40.0
725,2024-04-11,Instagram Ads,35.0
726,2024-02-22,Instagram Ads,30.0
727,2024-03-31,Email,21.0
728,2024-02-23,TikTok Ads,23.0
729,2024-03-23,Organic Search,53.0
730,2024-03-13,Referral,21.0
731,25/02/2024,Referral,37.0
732,2024-04-28,Google Display,49.0
733,2023-12-01,TikTok Ads,7.0
734,2024-03-23,Email,3.0
735,2024-02-29,Google Display,28.0
736,2024-01-30,Referral,40.0
737,2024-02-15,Facebook Ads,48.0
738,2024-04-18,Email,37.0
739,2024-04-23,Referral,22.0
740,2023-12-22,Google Search,
741,2024-04-13,Instagram Ads,41.0
742,2024-02-20,TikTok Ads,51.0
743,2024-03-22,,47.0
744,2024-03-17,Google Search,43.0
745,2024-02-23,Google Search,12.0
746,2023-12-25,Organic Search,15.0
747,2024-01-14,Google Display,51.0
748,2024-02-22,email,49.0
749,2023-12-25,Referral,20.0
750,2024-01-20,TikTok Ads,4.0
751,2024-02-26,Google Search,31.0
752,14/01/2024,Instagram Ads,21.0
753,2024-01-17,Organic Search,5.0
754,2024-04-22,Direct,41.0
755,2023-12-18,Google Display,21.0
756,2024-04-06,Organic Search,22.0
757,2024-03-27,Instagram Ads,32.0
758,2024-01-27,Referral,10.0
759,2024-03-17,Facebook Ads,44.0
760,2024-01-10,Google Display,6.0
761,31/12/2023,Referral,36.0
